Certification_body,Registration_number
"ФБУ ""ЦСМ ИМ. А.М. МУРАТШИНА В РЕСПУБЛИКЕ БАШКОРТОСТАН""",278002498
"ООО ""ВНИИСЕРТ""",7733328885
"ООО ""ЦСК ""ПЕРМЬ-СТАНДАРТ-ТЕСТ""",5902140647
"ФБУ ""Пермский ЦСМ""",5902400246
"ФБУ ""Мордовский ЦСМ""",1328009380
"ФБУ ""УРАЛТЕСТ",6662005668
АССОЦИАЦИЯ РУССКИЙ РЕГИСТР,7825457880
"ООО ССУ ""ДЭКУЭС""",7606044591
"АНО ""ЦМКС""",7453100944
"ООО ""Самарский ЦИС""",6312046805
"ФБУ ""ТАМБОВСКИЙ ЦСМ""",6833002042
"ООО ""ЮГ-ТЕСТ""",6163064851
ФБУ «Крымский ЦСМ»,9102031678
"ФГБУ ""НЦБРП""",7810102130
ГОЦИСС,7810915827
ООО «РЦСМ «РЕГИОН-СТАНДАРТ»,1831105614
"АО ""РОСТЕСТ""",7706278628
"АО ""РСМЦ ""ТЕСТ-ТАТАРСТАН""",1660061040
"ЧУ ""Воронежский центр сертификации и мониторинга""",3666099693
"ООО ""Тест-С.-Петербург""",7826172863
"ФБУ ""КРАСНОЯРСКИЙ ЦСМ""",2464019742
"ООО ""ВЛАДИМИР-ТЕСТ""",3327307099
