Certification_body,Registration_number,cb_region_number,Email,Status,12.2024
"ООО ""ЭЙ ДЖЕЙ ЭЙ РЕГИСТРАРС""",7810729690,47,info@ajaregistrars.ru,Начальный,0
"ЧУ СЦ ""ВНИИГАЗ-СЕРТИФИКАТ""",5003025605,50,info@vniigaz-cert.ru,Начальный,0
"ООО ""МГТ""",9723102106,50,info@osmgt.ru,Стандарт,0
"ФБУ ""ЦСМ ИМ. А.М. МУРАТШИНА В РЕСПУБЛИКЕ БАШКОРТОСТАН""",278002498,2,info@bashtest.ru,Пассивный,0
"ООО ""ЕВРОСЕРТИФИКА""",7724889490,50,inbox@eurocertifica.ru,Начальный,0
"ООО ""ИРИ КОНС""",7602159400,76,iris@iricons.ru,БАН,0
"ООО ""ДКС РУС""",7606128499,76,dks.rus@dqsrus.ru,БАН,0
"ООО ""ИНТЕРСЕРТИФИКА""",9728048156,50,info@intercertifika.ru,Пассивный,0
"АО ""КВОЛИТИ +""",9703083021,50,info@rtqualityplus.ru,Начальный,0
"ООО ""ПРОМСТАНДАРТ""",6316256218,63,asazonov@prom-std.ru,Начальный,0
"АО ""НПК""",9731010850,24,info@npk.team,Начальный,0
ООО «СОЮЗ-СТАНДАРТ»,7719481017,50,soyuz.standart@mail.ru,БАН,0
"ООО ""ЭКСПЕРТ ГРУПП""",2130144342,50,expertgrupp@mail.ru,Пассивный,0
"АНО ""ТПДУ""",7810705717,47,info@tpdu.ru,Начальный,0
"ООО ""ВНИИСЕРТ""",7733328885,50,iso.gost@mail.ru,Стандарт,0
"ООО ""ЕДИНЫЙ СТАНДАРТ""",7718782029,50,info@usgcert.ru,Продвинутый,0
"ООО ""ИСО КОНСАЛТИНГ""",9731003074,50,info@isoconsulting.ru,Начальный,0
АО НДЦ НПФ «РУССКАЯ ЛАБОРАТОРИЯ»,7801082551,47,office@ruslab.org,Начальный,0
"ООО ""ВЕРТЕСТ""",7733263934,50,info@vertest.ru,Начальный,0
"ООО ""АСЕРТ БЮРО""",7839482929,47,acert@acert.ru,Начальный,0
"ООО ""ПРИОРИТЕТ""",9721040214,50,prioritet-iso@mail.ru,Начальный,0
"АО ""РТ-ТЕХПРИЕМКА""",7714710760,50,info@rt-techpriemka.ru,Пассивный,0
"ООО ""ЮРС-РУСЬ""",7801204062,47,mail@urs-russia.com,Начальный,0
"ООО ""НАНИО ЦСВЭ""",5027081870,50,ccve@ccve.ru,Начальный,0
"ООО ""РУССКИЙ ЭКСПЕРТ""",5036107324,50,info@ruekspert.ru,Начальный,0
"ООО ""ЦТКАО""",7705953735,50,os@atomctk.ru,Начальный,0
"ООО ""ЦСК ""ПЕРМЬ-СТАНДАРТ-ТЕСТ""",5902140647,59,CSKPermStandTest@mail.ru,Начальный,0
НТФ «СЦ «КОНТСТАНД»,7734149840,50,ntf@contstand.ru,Начальный,0
"ФБУ ""Пермский ЦСМ""",5902400246,59,pcsm@permcsm.ru,Пассивный,0
"ООО ""М-СЕРТ""",7452090482,74,m-cert@yandex.ru,Начальный,0
"ООО ""ЦССМ""",6829082461,68,cssm68@mail.ru,Начальный,0
"ФАУ ""РОССИЙСКИЙ МОРСКОЙ РЕГИСТР СУДОХОДСТВА""",7803052947,47,pobox@rs-class.org,Пассивный,0
"ООО ""НСЦ ""Аспект-СЕРТ""",7720787190,50,aspsert@mail.ru,Начальный,0
"ООО ""НЦС""",7701873711,50,yryipolozen@gmail.com,Начальный,0
"ООО ""ЭП""",5018103990,50,1011455@mail.ru,Начальный,0
"Межотраслевой Фонд ""Сертификация автотранспорта САТР""",7733054480,50,pahomova@satrfond.ru,Начальный,0
"ООО ""Научно-исследовательский центр контроля и диагностики технических систем""",5259116040,52,Info@nickd.ru,Начальный,0
"ООО ""ПРОНАП""",7453270456,74,pronap@yandex.ru,Начальный,0
"ООО ""СОЮЗСЕРТ""",7714323923,50,sert@souzsert.ru,Начальный,0
"ФБУ ""Мордовский ЦСМ""",1328009380,13,csm@e-mordovia.ru,Пассивный,0
"ФБУ ""РОСТЕСТ-МОСКВА""",7727061249,50,quality@rostest.ru,Пассивный,0
"ФБУ ""УРАЛТЕСТ",6662005668,66,uraltest@uraltest.ru,Пассивный,0
"ФБУ ""КИРОВСКИЙ ЦСМ""",4346002168,43,gost@gost.kirov.ru,Пассивный,0
"АНО НТЦ ""ТЕХНОПРОГРЕСС""",7723534776,50,info@tpcorp.ru,Начальный,0
